"","DUR_12","DUR_24","DUR_36","DUR_48","DUR_60","DUR_72","DUR_84","DUR_96","DUR_108","DUR_120","DUR_132","DUR_144","DUR_156","DUR_168","DUR_180","DUR_192","DUR_204","DUR_216","DUR_228","DUR_240","DUR_252","DUR_264","DUR_276","DUR_288","DUR_300","DUR_312","DUR_324","DUR_336","DUR_348","DUR_360"
"AEG43",71202.6311332427,71935.6557236762,72355.640556866,74308.3830121201,77903.2992852339,81301.6810224328,81480.3856892851,78043.1855915047,72926.1530598012,68604.770079881,65016.5081403703,61897.1218428013,59290.6813776601,NA,58405.329753575,60802.9086205024,64715.3598592871,68115.1594665578,69757.1552024375,71052.8950388523,73827.840693632,78129.4186612243,82221.5788852583,84162.9761757569,84950.6932331566,84722.4824464778,84570.0785482774,86133.7934638184,88514.4807267608,89826.5536173648
"AEG44",72093.7157323893,71666.060329166,71115.0221507543,70724.2474080731,69926.2599944502,68096.0736312848,64677.4042329826,60357.6920160157,56268.1975494795,52392.9308927298,49646.0647532241,48949.2839028944,50235.1676051681,NA,51164.8467560727,50535.6390605776,49345.968729314,49210.2520834958,50844.9926257561,54085.6471748124,57982.829435632,60779.1720336733,61383.638010817,58921.0323029726,55184.8648374385,52425.0109742487,53341.8289756921,56649.1243842436,59132.6020533862,59749.3122680984
"AEG45",81075.5897335541,82789.0109158908,84138.7430444765,84365.0879536306,83572.9694225738,81268.201914122,76864.3686184318,71293.0494178591,65806.0429324772,61262.7679396331,58637.4386148455,57942.0975104512,57711.1340212158,NA,57229.732276765,57313.1883688113,59159.6440213539,61283.3309680432,62419.3430211634,63582.5839868834,65556.1930996326,66186.4317673279,66041.1890243745,66631.8470092222,69382.797906201,73041.6584019445,75370.6985427034,75229.6265229291,73858.6483362789,72872.2653237293
"AEG46",71224.7840969843,75789.5877058986,79793.0294779653,80943.8673431096,78323.5464425993,73924.853392109,70137.0532090786,68158.3188857255,67936.5067269125,67566.8515258152,64330.4164520877,58682.8883719873,53797.1642569102,NA,50671.4344152661,49312.05770044,49622.2952098079,51251.7287721723,53601.4188567164,55606.0435160203,57078.1349583076,58394.3573880284,60015.93858893,61353.2587092717,62120.6640308465,62968.3809256974,66335.5011608375,71265.4768067598,76050.1526412568,79945.8399874811
"AEG47",87596.3232290475,87872.0120795504,88135.5107144353,88142.9800730972,89825.1183448167,92391.7256138033,93838.3822685309,92665.4215656421,89473.6249430979,83636.1345138889,77661.9109986663,74565.6592719214,75491.7845033784,NA,77374.2752852049,78120.8930785624,79065.5065565982,81716.5912358905,83535.3580671025,82773.5333142636,81530.621976753,82447.3568419471,84225.9922708949,83996.8344659548,81659.5766557542,79023.0896579303,79251.7985048552,82742.3360692387,87152.2228466351,90293.3479232654
"AEG48",87327.3657538815,88322.9151165394,88580.0234568502,88814.3868851778,89251.6285698706,89254.1345485005,88596.8035092859,87220.871283239,85915.2787529256,84024.0287294973,81385.1717885321,78288.2083119789,75550.380398812,NA,73552.8833108656,71813.4990397742,71132.0483517925,70604.3274574727,69946.74233796,70254.4620276377,72566.4692292541,76127.1990002036,81274.7865582771,88632.091000076,97131.4421456973,103024.499076427,103056.07838113,99539.2938204639,97363.6656026244,97923.9043078866
"AEG49",66880.8754134567,67519.9122130271,67188.6453415667,67508.3596212373,67368.7181088391,64112.831261271,60036.9380296807,61090.6183844506,65030.9133197805,66273.4630882468,63742.9836682145,59144.2384885072,54813.5051003153,NA,54001.5967815866,56320.3331172178,59155.7305617898,58877.555427109,56393.5612857065,54748.5011182422,56222.5037348968,60883.1527237562,66937.6941112851,71031.2742722385,74635.5396210278,75934.1655731685,73119.6047157181,68289.993265264,64219.2100653945,61694.3038993396
"AEG5",73842.986516547,73994.6213894726,74390.1460396845,74380.1129343256,73743.6641290646,71757.449863828,68319.006471214,64503.8537008292,61517.2598681953,59938.6477484384,58297.1077016795,56210.2294485103,54085.6867057266,NA,52164.1244887284,50296.1864940661,49771.7869878831,51805.2137815196,55650.2464822332,59155.0690362915,60685.833808689,61741.7624779891,63763.6777274484,65567.1412749259,66338.8808937988,64113.4798497644,60003.9656577369,56791.7251134453,55497.807775321,55308.2753818445
"AEG50",90098.3876340179,90525.7577761555,89948.0371220661,89528.2470105999,90538.4818434777,91520.8055399776,88212.1992226749,80667.4158480039,72251.6547969205,65559.0097252099,61474.0692975906,60359.2301033332,61410.2493788482,NA,62346.2793696172,62829.1142535616,64020.2130827607,66608.578264262,69587.5299313323,72660.0415484648,75287.3549595359,77664.3772086017,79655.249679872,79259.544438595,76891.5491332283,72720.0980873964,71050.8730632566,73516.6045397671,77197.4145526569,79366.8823082979
"AEG6",88900.0492067369,89865.6625342575,90207.5933308003,88456.231344356,84224.0607502391,78312.7254124342,70858.9591077378,63774.1528907162,59352.0007599963,57589.0905279744,57448.1763296302,58801.887692522,60847.4561799081,NA,63198.1899877491,65521.4680122538,65930.5236450607,64125.4108858349,62933.8135272383,63664.584602427,65606.4828295879,68718.4839448774,73034.2703198925,76074.6388952595,77058.8536550774,76746.9445462039,77142.6308831497,78614.3923994578,79661.4627058924,79532.4051476207
