"","DUR_12","DUR_24","DUR_36","DUR_48","DUR_60","DUR_72","DUR_84","DUR_96","DUR_108","DUR_120","DUR_132","DUR_144","DUR_156","DUR_168","DUR_180","DUR_192","DUR_204","DUR_216","DUR_228","DUR_240","DUR_252","DUR_264","DUR_276","DUR_288","DUR_300","DUR_312","DUR_324","DUR_336","DUR_348","DUR_360"
"AEG32",69028.6849557646,64612.8847665713,60820.2919215773,59597.8022058105,61269.6140477498,63134.2288685115,63779.3830760514,63358.9187360415,62895.1555953383,62102.1659268831,60066.9110025671,57446.6551372603,54436.8213512737,NA,51660.086271139,49888.1682644467,49452.3417726738,50265.5108103058,51742.8469243403,53508.2738104348,55644.8511981361,57554.6531603158,59361.7771267963,60712.7006846919,62221.0566536928,62559.0892841599,61435.951003034,59423.0246924256,56967.0492581296,54692.8306380178
"AEG33",73004.8081149052,76427.5216090013,79831.5380072113,81005.1462368528,78954.5367105498,74591.3285108674,69352.4281101454,63952.5236595531,59496.1317050441,55761.1161888998,52289.3978347387,51253.2169806474,52681.9674401426,NA,53988.2291105851,51873.8774081374,46817.5632128715,41908.8009517567,41720.9862429344,46505.0528341897,52325.4035941159,56907.2163722848,61276.6494252597,66287.7943998795,70645.7952263605,71372.7385752819,68803.0501555346,65972.1056221226,65093.9722033715,65927.2055019627
"AEG34",75909.7135675397,81578.3100581839,85771.0885017903,87135.8068550349,86025.107778562,84662.1276407534,83393.1824015218,80990.5072074821,75242.2885940499,67488.5190786754,59422.6620543667,53300.1059066456,50168.7724063871,NA,50651.0393109095,54812.7619253799,60914.2866244853,65096.4296017686,64362.3014279082,60955.4497354145,59867.4713091099,63881.5505586006,70465.4706061545,75393.2524287171,76958.9213179012,77037.8966507171,77523.265469557,78045.7858352,77480.5365822713,76041.3802420313
"AEG35",79064.8724492548,80498.4737070809,83007.0957133942,84924.546110785,84446.8647153821,80594.5563156733,73123.3630884168,63365.2671999664,56271.318572439,53213.0620496818,52642.4533500956,52417.702649972,51413.5166666178,NA,49207.5383953578,47236.9191626505,47305.3875809225,49299.4068432655,53401.1521503121,59803.6770092006,66388.2809526908,70480.5032437062,74137.4737333118,78348.0706228954,83136.0562172013,85324.181656795,83133.4319167021,77947.5364465868,73565.7256826917,71968.8148526711
"AEG36",88440.82192248,88029.8362401289,85948.9619490706,83296.1454336707,82609.7821756228,83762.4231378725,82810.4828948659,76802.7996889876,69094.5339563454,63228.3810924738,60975.8333856856,62792.7113525401,66105.0608181791,NA,67952.2203509615,67239.9602650978,63609.1557394131,59689.59210795,57834.2719343082,58248.9782888662,60347.1092879129,62162.5220004076,62147.4169802514,60716.9859730161,61109.6026673695,63571.4427159863,66845.4553848588,69025.2950708985,69390.3652906097,68690.0772511828
"AEG37",77513.8984602997,80558.5290403816,83480.8682626773,84592.6903916256,82277.3384419384,75502.0289535677,65136.0026451497,54244.1983416732,47404.2139152004,47046.4404660148,51143.6896381812,56428.8485118795,60688.657977202,NA,63374.3490791266,64274.4314358622,62997.4383604405,60476.7265341492,59547.5404752191,61318.0391072118,64451.3885437191,67751.323373615,70672.1148670508,73182.5219041298,75829.7318533387,77516.992888849,78531.126599171,80055.300559494,82129.8089593751,83840.8780885002
"AEG38",85750.596876798,86358.4404985225,85616.6331130951,83624.3673352932,81640.0863349354,81135.9097640442,79704.6721303205,74483.9096242645,66662.6427204665,60318.7606858278,57499.0654692296,56136.8282444067,54651.1193674691,NA,53092.3848571956,53005.6831067134,54931.7464824365,57378.1034168892,58838.845355796,60241.6629155546,62814.9988889219,66433.1808389607,70882.1808756036,74746.6286749869,77695.1870976608,79325.3027053569,79235.3732477325,78103.3092144577,75919.2968322435,72957.4630320248
"AEG39",76215.738963028,77933.9280980764,76877.3488928751,73714.0695900373,70454.9357011066,69082.5146555875,68763.1646992207,67743.4223125291,65526.1738846591,61287.2146835462,55848.5815590316,52375.9935775169,53692.1438858517,NA,58638.518248924,62473.2857942489,63422.3514749612,60652.5842232682,55101.8391387297,51157.5709741953,53013.8859790266,58970.1711439192,64632.9983055366,68266.4686066289,72223.706015952,77035.770574565,81187.7795465224,82564.4007248183,80203.3496268007,75882.5701891399
"AEG4",52659.8960591428,53981.9787831929,56278.6407093152,59236.6755340416,62370.9050393097,63753.1397102024,62181.2339915629,59258.2605584371,56401.9448717328,53440.5165394657,49550.598604535,44866.6728500157,40789.2248561455,NA,40809.9581990441,46305.1739384732,52735.7983049695,55405.7335630087,54704.9625660784,53514.313326592,53049.4019810445,53768.0857297408,56219.7889485351,60144.8073262511,64245.5563592089,66776.2597454339,68060.5055192597,68727.3598468719,68831.7079524376,68524.9517090041
"AEG40",84125.2660451967,84372.8846380024,84731.8610449233,85490.9560073361,85989.8260888656,84810.4687552884,80984.8777538511,75809.3715224401,71994.0681717165,69891.8201627098,68413.2952556704,66328.1447142775,64702.3914174971,NA,64328.6265849547,64213.9785007498,64522.4726457322,64687.9034793922,65540.3943929363,67319.7369067487,69752.1868901143,72629.3269967438,76910.7198607696,80717.789126779,83597.5175412945,84575.1129408105,84390.8558764905,83523.3842787984,82543.6914788411,82064.2117620742
"AEG41",62155.4489600167,62997.2360367955,63529.0195510526,65042.2392961754,67642.6126653142,69201.2127569451,67136.9748360261,62343.5673432786,56628.6383898466,51833.9424294236,48925.0187974313,47209.4113665413,45439.4786244849,NA,44423.0236198402,44562.557290327,46681.3969045797,49782.775229968,53134.2047560029,57823.1458846616,64032.5476176016,68154.3313213843,68619.5819863823,65827.0157111777,62840.9039245003,61716.7517674134,62976.3673571262,65598.4275301015,67418.1366908329,67527.7690307566
"AEG42",80958.3725075328,81357.0625448958,81123.056043543,80364.4721443274,79754.7884617891,78054.7981144512,74181.126331696,68726.4365998265,63410.3518758105,59273.0005099486,56654.5980929192,55931.674498614,58280.3684581119,NA,60555.3186083033,60324.6573196294,57770.4539516109,54997.4943001189,54613.5736720234,56496.3504375785,59852.8688483306,64480.1567811839,70709.1809080458,75857.8309170422,79639.5582515115,79883.1004915668,76147.4119570042,71789.6593834519,69237.0255507261,68204.4826753349
